name,diameter,e,a,q,i,per_y
Ceraskia,21.241,.06578266146992157,3.017972955563744,2.819442662302516,11.31742741329216,5.24301641957582
Merxia,30.923,.1268015773806341,2.747926628913726,2.399485197841217,4.723704033019683,4.55528864575641
Tauris,102.229,.3076997082948185,3.153175866960211,2.182944572494293,21.8236196502803,5.59925818168409
Juliana,50.745,.109406262582836,3.002231287436677,2.673768382868974,14.32799980365648,5.20204880238874
Annika,22.891,.1793281550264013,2.591071077123625,2.126419081320775,11.33029307249102,4.17087516997126
Kapteynia,64.255,.09458652339804878,3.168201536867622,2.868532368070959,15.66587027736825,5.6393286174002
Adriana,58.65,.04968786197810728,3.129498417401324,2.974000331976782,5.933822013321857,5.53630881008708
Fanny,28.856,.2127563797105183,2.771303634904246,2.181691106463418,5.400090146133736,4.6135408392809
Anastasia,32.457,.1373156859694995,2.79262096574613,2.409150302181894,8.126094677890872,4.66687526722838
Henrika,22.556,.2055812948569129,2.712261410569992,2.154671197794576,7.106722340570334,4.46689269359187
Lindemannia,47.891,.0280791411956029,3.190556439120071,3.100968354373478,1.125670778321906,5.699120628726
Academia,42.685,.09980141500164116,2.579233176106453,2.321822055511852,8.283865794430593,4.14232444614063
Petropolitana,41.328,.06176879695151256,3.217089134606784,3.018373409076341,3.807525889708546,5.77035912878178
Monica,21.990,.1211632704355981,3.008576677799383,2.644047688160942,9.788818545153097,5.21854976250576
Burnhamia,61.278,.2009992894528607,3.183207993673579,2.543385448764523,3.978761488881612,5.67944276638722
Olivia,30.418,.08774646193381827,3.226696957727966,2.943565715954722,3.691803533917755,5.79622814898532
Seraphina,58.095,.1337361431281617,2.898396663958591,2.510776272865239,10.41637385752971,4.93452023240825
Valborg,20.39,.1516107909920737,2.614795074924377,2.218363925332914,12.60363580729506,4.22828925678813
Zenobia,27.306,.1000402034432254,3.131698618367934,2.818402851463538,9.986732378128728,5.54214830786987
Kerstin,43.576,.120367053939238,3.236749661121821,2.847151640073761,14.54578628060696,5.82333626725349
